id;start_date;updated_date;survey_id;email;status;device_type;contact_id;contact_list_id;promotion_code;1_¿Cuál es su sexo?;2_¿En qué rango de edad se encuentra usted?;3_¿Vive usted en la ciudad de Madrid?;4_¿En  qué distrito reside?;5_¿Practicaba la actividad antes de inscribirse?;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar unao varias respuestas.__Centro deportivo municipal;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar unao varias respuestas.__Redes sociales ;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar unao varias respuestas.__Familiares / Amistades;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar unao varias respuestas.__Federación;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar unao varias respuestas.__Web / Aplicación ;6_¿Cómo le llegó la información sobre la existencia de esta actividad? Puede señalar unao varias respuestas.__Otros;7_¿Se producen ausencias del profesorado?;8_En caso de producirse ausencias del profesorado, ¿se recuperan esas horas de clase?;"9_Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Información del programa y atención recibida en el centro deportivo  
";"9_Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Puntualidad del profesorado
";"9_Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Calidad de las clases recibidas
";"9_Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Relación calidad-precio del servicio recibido
";"9_Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Organización de la actividad
";"9_Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Lugares elegidos para la realización de la actividad
";"9_Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Cumplimiento del calendario anual de actividad 
";"9_Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Adquisición de la técnica básica para el desarrollo de la actividad de forma autónoma 
";"9_Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Procedimiento de inscripción o de reserva de la actividad
";"9_Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Satisfacción global con el profesorado
";"9_Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Satisfacción global con las clases
";"9_Indique su grado de satisfacción con las siguientes cuestiones en una escala del 0 al 10, donde 0 significa ""muy insatisfactorio"" y 10 ""muy satisfactorio"".__Satisfacción global con el programa
";10_¿Recomendaría usted el programa a familiares o amistades?;11_Para finalizar, indique aquellas sugerencias que puedan contribuir a la mejora del programa (máximo 600 caracteres)
45290790;2024-07-31 14:06:20;2024-07-31 14:10:51;381907;;Completa;Desktop;35115234;38083;;"Hombre
";De 46 a 65 años; Sí;San Blas-Canillejas;No;;;;;Web / Aplicación;;Nunca;;"8
";"9
";"6
";"9
";"8
";"9
";"9
";"6
";"10
";"8
";"9
";"9
";Sí;
45290800;2024-07-26 09:26:36;2024-07-26 09:28:06;381907;;Completa;Desktop;35115244;38083;;Mujer;De 46 a 65 años; Sí;"Centro
";No;;;Familiares / Amistades;;;;;;;;;;;;;;;;;;;
45290802;2024-08-05 11:38:14;2024-08-05 11:39:00;381907;;Completa;Desktop;35115246;38083;;"Hombre
";De 27 a 45 años; Sí;Chamartín;No;Centro deportivo municipal;Redes sociales;;;;;;;;;;;;;;;;;;;;
45290805;2024-08-08 06:42:59;2024-08-08 06:44:42;381907;;Parcial;Desktop;35115249;38083;;Mujer;De 46 a 65 años; Sí;;Sí;;;Familiares / Amistades;;;;Nunca;;"5
";"9
";"9
";"9
";"9
";"9
";"9
";"9
";"0
";"9
";"9
";"0
";Sí;
45290806;2024-07-18 14:57:44;2024-07-19 00:58:13;381907;;Completa;Mobile;35115250;38083;;Mujer;De 46 a 65 años; Sí;Hortaleza;No;Centro deportivo municipal;;;;;Otros;Nunca;;"8
";"9
";"9
";"9
";"9
";"9
";"9
";"9
";"9
";"9
";"9
";"9
";Sí;
45290807;2024-07-18 20:04:15;2024-07-18 20:04:48;381907;;Parcial;Mobile;35115251;38083;;Mujer;De 46 a 65 años; Sí;Arganzuela;No;;;Familiares / Amistades;;;;;;;;;;;;;;;;;;;
45290816;2024-07-30 14:25:38;2024-07-30 14:29:48;381907;;Completa;Mobile;35115260;38083;;"Hombre
";Mayor de 65; Sí;;No;;;;;;Otros;Nunca;;"10
";"10
";"10
";"10
";"10
";"10
";"10
";"10
";"5
";"10
";"10
";"9
";Sí;
45290819;2024-07-20 16:51:21;2024-07-20 16:51:42;381907;;Parcial;Desktop;35115263;38083;;"Hombre
";De 46 a 65 años; Sí;;;;;;;;;;;;;;;;;;;;;;;;
45290822;2024-07-18 12:51:36;2024-07-18 12:54:08;381907;;Completa;Mobile;35115266;38083;;Mujer;De 27 a 45 años; Sí;Hortaleza;No;;;Familiares / Amistades;;;;Poca frecuencia;No;"7
";"10
";"8
";"10
";"8
";"10
";"8
";"8
";"8
";"9
";"9
";"9
";Sí;
45290829;2024-07-26 09:39:36;2024-07-26 09:40:36;381907;;Parcial;Mobile;35115273;38083;;Mujer;Mayor de 65; Sí;Hortaleza;No;;;Familiares / Amistades;;;;Poca frecuencia;Sí;"6
";;;;;;;;;;;;;
45290831;2024-07-19 14:48:48;2024-07-19 14:49:47;381907;;Parcial;Mobile;35115275;38083;;"Hombre
";De 15 a 26 años; Sí;Barajas;No;Centro deportivo municipal;;;Federación;;;;;;;;;;;;;;;;;;
45290833;2024-07-18 18:21:54;2024-07-26 09:20:53;381907;;Parcial;Mobile;35115277;38083;;Mujer;De 27 a 45 años; Sí;Salamanca;No;Centro deportivo municipal;;;;Web / Aplicación;;Nunca;;"10
";"10
";"10
";"10
";"10
";"10
";"10
";"10
";"10
";"10
";"10
";"10
";Sí;
45290836;2024-07-18 11:17:18;2024-07-18 11:18:04;381907;;Parcial;Mobile;35115280;38083;;Mujer;De 27 a 45 años; Sí;"Centro
";No;;;Familiares / Amistades;;;;Nunca;;;;;;;;;;;;;;;
